Player,EVENTS_PLAYED,POINTS,NUMBER_OF_WINS,NUMBER_OF_TOP_Tens,SG_PUTTING_PER_ROUND,AVG_Driving_DISTANCE,SG_PER_ROUND,SG:OTT,SG:APR,SG:ARG,SG_PUTTING_PER_ROUND,AVG_SCORE,HOLES_PLAYED,AGE,
Robert Garrigus,27,353,0,1,-0.569,307.9,0.356,0.21,0.331,-0.186,-0.569,71.457,1368,33,
Robert Streb,29,155,0,1,-0.081,292.6,-0.5,-0.68,0.096,0.084,-0.081,71.905,1332,34,
Roberto Diaz,25,107,0,0,0.168,286.3,-1.001,-0.165,-0.6,-0.237,0.168,71.731,1224,32,
Rod Pampling,20,64,0,0,-0.421,288.4,-0.673,-0.095,-0.415,-0.163,-0.421,72.445,1044,48,
Rory Sabbatini,27,521,0,1,0.059,292.3,0.299,0.217,-0.152,0.234,0.059,70.693,1602,36,
Russell Henley,23,589,0,3,0.205,292.5,0.273,0.094,0.431,-0.252,0.205,70.489,1332,29,
Russell Knox,27,629,0,3,-0.201,291.7,0.468,0.056,0.252,0.16,-0.201,70.568,1620,31,
Ryan Blaum,28,433,0,2,0.025,289,-0.058,0.011,-0.074,0.005,0.025,70.993,1404,33,
Ryan Moore,22,806,0,5,-0.271,289.2,1.211,0.406,0.532,0.273,-0.271,70.015,1404,37,
Ryan Palmer,21,900,0,3,-0.396,305.7,0.336,0.272,0.22,-0.157,-0.396,71.031,1134,39,
Sam Ryder,26,551,0,3,-0.349,297.3,0.503,0.203,0.399,-0.099,-0.349,70.914,1440,29,
Sam Saunders,26,437,0,4,0.094,302.8,0.132,0.35,-0.081,-0.138,0.094,70.794,1332,33,
Scott Brown,32,422,0,2,0.049,292.6,-0.71,-0.265,-0.27,-0.175,0.049,71.329,1764,36,
Scott Stallings,30,608,0,2,-0.012,299.7,0.34,-0.021,0.379,-0.018,-0.012,70.719,1620,38,
Seamus Power,28,455,0,2,0.498,302.6,-0.319,0.076,-0.392,-0.003,0.498,70.869,1404,31,
Sean OHair,22,526,0,2,-0.207,302.7,-0.026,0.211,-0.073,-0.164,-0.207,71.479,1134,33,
Shane Lowry,19,296,0,0,-0.167,300.3,0.494,0.336,0.228,-0.069,-0.167,70.754,1008,34,
Shawn Stefani,25,268,0,1,-0.034,299.6,0.141,-0.093,0.221,0.013,-0.034,71.192,1332,35,
Si Woo Kim,30,972,0,5,-0.241,290.6,0.16,-0.021,-0.146,0.327,-0.241,71.367,1872,28,
Smylie Kaufman,22,74,0,1,-0.398,297.1,-3.586,-1.585,-1.504,-0.497,-0.398,74.891,846,25,
Stephan Jaeger,26,211,0,0,-0.144,299.2,0.054,0.045,-0.166,0.175,-0.144,71.356,1350,32,
Steve Wheatcroft,20,138,0,1,-0.128,288.9,-0.211,0.112,-0.065,-0.258,-0.128,71.631,1044,34,
Stewart Cink,25,775,0,3,-0.345,298.1,0.81,0.057,0.698,0.055,-0.345,70.44,1566,45,
Sung Kang,29,490,0,2,-0.235,293.1,-0.806,-0.488,-0.094,-0.225,-0.235,71.954,1530,31,
Talor Gooch,27,308,0,0,0.031,298.9,-0.194,-0.322,0.075,0.053,0.031,71.149,1296,26,
Tiger Woods,16,1342,0,5,0.236,303.5,1.317,-0.006,0.955,0.367,0.236,69.457,1152,42,
Tom Hoge,31,608,0,3,-0.162,291.4,0.235,0.018,0.297,-0.079,-0.162,70.945,1674,45,
Tom Lovelady,28,332,0,2,-0.05,315.9,-0.14,0.379,-0.24,-0.279,-0.05,71.252,1458,41,
Tommy Fleetwood,17,1424,0,5,0.138,307.5,1.318,0.567,0.359,0.392,0.138,69.339,1116,27,
Tony Finau,26,3169,0,10,0.12,316.3,1.252,0.509,0.49,0.254,0.12,69.515,1692,28,
Trey Mullinax,24,550,0,3,0.078,318.7,-0.101,0.51,-0.416,-0.195,0.078,70.815,1242,27,
Tyler Duncan,31,457,0,2,-0.554,294.4,0.564,0.269,0.44,-0.145,-0.554,71.04,1674,30,
Tyrone Van Aswegen,31,364,0,1,-0.01,290.3,-0.313,-0.493,-0.008,0.187,-0.01,71.243,1674,33,
Tyrrell Hatton,15,932,0,4,0.271,298.2,0.501,0.207,0.182,0.112,0.271,70.091,972,32,
Vaughn Taylor,25,445,0,3,-0.08,286.1,0.299,-0.005,0.305,-0.002,-0.08,70.692,1422,36,
Wesley Bryan,23,219,0,0,0.36,280.4,-0.814,-1.443,0.222,0.407,0.36,71.552,1206,32,
Whee Kim,30,805,0,3,0.427,285.8,-0.864,-0.748,0.03,-0.146,0.427,71.477,1602,26,
William McGirt,26,449,0,3,0.2,289.3,-0.021,-0.306,0.091,0.194,0.2,70.791,1404,34,
Xander Schauffele,25,1109,0,5,0.003,304.6,0.343,0.25,0.171,-0.078,0.003,70.547,1602,24,
Xinjun Zhang,28,195,0,1,-0.437,298.7,-0.297,0.139,-0.254,-0.182,-0.437,71.486,1350,31,
Zac Blair,20,176,0,0,0.203,279.5,0.12,-0.345,0.072,0.394,0.203,71.215,1044,29,
Zach Johnson,24,890,0,2,0.219,290.1,0.787,-0.005,0.41,0.382,0.219,69.911,1566,42,
Zecheng Dou,23,21,0,0,-0.667,291.9,-0.531,-0.079,-0.265,-0.187,-0.667,72.773,882,21,
